country,year,disorder,value
Lithuania,2006,Anorexia,0.0702591387281205
Lithuania,2006,Bulimia,0.0683191521283653
Lithuania,2006,Binge eating disorder,0.059081195043514195
Lithuania,2007,Anorexia,0.07018861142596139
Lithuania,2007,Bulimia,0.0690725689370342
Lithuania,2007,Binge eating disorder,0.06177924043700444
Lithuania,2008,Anorexia,0.07063791387893492
Lithuania,2008,Bulimia,0.07123495247010164
Lithuania,2008,Binge eating disorder,0.06317134055096342
Lithuania,2009,Anorexia,0.07302630689038102
Lithuania,2009,Bulimia,0.07158648404436467
Lithuania,2009,Binge eating disorder,0.0638872972652543
Lithuania,2010,Anorexia,0.07819284578288276
Lithuania,2010,Bulimia,0.07181195923713075
Lithuania,2010,Binge eating disorder,0.06232211187998649
Luxembourg,2000,Anorexia,0.23739001899947512
Luxembourg,2000,Bulimia,0.2374890936416984
Luxembourg,2000,Binge eating disorder,0.20015583155882655
Luxembourg,2001,Anorexia,0.23286444304239037
Luxembourg,2001,Bulimia,0.23566491294611266
Luxembourg,2001,Binge eating disorder,0.21273587751149697
Luxembourg,2002,Anorexia,0.25271903172957855
Luxembourg,2002,Bulimia,0.23930081951173776
Luxembourg,2002,Binge eating disorder,0.19639095465868375
Luxembourg,2003,Anorexia,0.24579708125445326
Luxembourg,2003,Bulimia,0.25474203809429863
Luxembourg,2003,Binge eating disorder,0.1938752014512481
Luxembourg,2004,Anorexia,0.24141758004251024
Luxembourg,2004,Bulimia,0.2556872083671998
Luxembourg,2004,Binge eating disorder,0.2038233760902898
Luxembourg,2005,Anorexia,0.23205999014655757
Luxembourg,2005,Bulimia,0.2631872167201942
Luxembourg,2005,Binge eating disorder,0.2094103722332483
Luxembourg,2006,Anorexia,0.2414786045441539
Luxembourg,2006,Bulimia,0.2539669493935074
Luxembourg,2006,Binge eating disorder,0.21529209716233866
Luxembourg,2007,Anorexia,0.26802981749559823
Luxembourg,2007,Bulimia,0.23929087053857243
Luxembourg,2007,Binge eating disorder,0.20998433966582936
Luxembourg,2008,Anorexia,0.254068415644367
Luxembourg,2008,Bulimia,0.25167575208586895
Luxembourg,2008,Binge eating disorder,0.21845640576976405
Luxembourg,2009,Anorexia,0.2543622277422465
Luxembourg,2009,Bulimia,0.25825084484292926
Luxembourg,2009,Binge eating disorder,0.21591995711482426
Luxembourg,2010,Anorexia,0.2618387648556816
Luxembourg,2010,Bulimia,0.2678953428799909
Luxembourg,2010,Binge eating disorder,0.20217276926432762
Malta,2000,Anorexia,0.1649986576865156
Malta,2000,Bulimia,0.15029996902461978
Malta,2000,Binge eating disorder,0.1325942962888646
Malta,2001,Anorexia,0.1628449832257224
Malta,2001,Bulimia,0.15140544451468702
Malta,2001,Binge eating disorder,0.13915041675959058
Malta,2002,Anorexia,0.15056692414943937
Malta,2002,Bulimia,0.16572054346499546
Malta,2002,Binge eating disorder,0.1419630584855652
Malta,2003,Anorexia,0.16445139965153358
Malta,2003,Bulimia,0.15962381089525074
Malta,2003,Binge eating disorder,0.13849970875321566
Malta,2004,Anorexia,0.16933883834176616
Malta,2004,Bulimia,0.1631012171682854
Malta,2004,Binge eating disorder,0.13477670628994842
Malta,2005,Anorexia,0.1593277406162095
Malta,2005,Bulimia,0.16944764669245133
Malta,2005,Binge eating disorder,0.14244560569133918
Malta,2006,Anorexia,0.1681436189510695
Malta,2006,Bulimia,0.15440033405253137
Malta,2006,Binge eating disorder,0.15157755239639908
Malta,2007,Anorexia,0.1607171495309082
Malta,2007,Bulimia,0.16169515590717706
Malta,2007,Binge eating disorder,0.1543239471619147
Malta,2008,Anorexia,0.16186044511357872
Malta,2008,Bulimia,0.17428464971145502
Malta,2008,Binge eating disorder,0.14312772387496622
Malta,2009,Anorexia,0.1787332660894682
Malta,2009,Bulimia,0.1805474491342488
Malta,2009,Binge eating disorder,0.12310091867628292
Malta,2010,Anorexia,0.1688206551115142
Malta,2010,Bulimia,0.17330641240666023
Malta,2010,Binge eating disorder,0.1433120050818256
Moldova,2000,Anorexia,0.04251732172364206
Moldova,2000,Bulimia,0.042160357413713434
Moldova,2000,Binge eating disorder,0.036005466862644504
Moldova,2001,Anorexia,0.03909301344644442
Moldova,2001,Bulimia,0.043436183988625914
Moldova,2001,Binge eating disorder,0.03802585866492967
Moldova,2002,Anorexia,0.04061343556431749
Moldova,2002,Bulimia,0.04386517359092877
Moldova,2002,Binge eating disorder,0.036383643844753746
Moldova,2003,Anorexia,0.04386009332845388
Moldova,2003,Bulimia,0.0436723500336506
Moldova,2003,Binge eating disorder,0.03335229563789552
Moldova,2004,Anorexia,0.04460430031516553
Moldova,2004,Bulimia,0.04277176740216367
Moldova,2004,Binge eating disorder,0.0337572514826708
Moldova,2005,Anorexia,0.04341463529601674
Moldova,2005,Bulimia,0.040610620562826154
Moldova,2005,Binge eating disorder,0.037570078941157097
Moldova,2006,Anorexia,0.04249278532259267
Moldova,2006,Bulimia,0.04368159618127746
Moldova,2006,Binge eating disorder,0.03620440929612986
Moldova,2007,Anorexia,0.04355712111692193
Moldova,2007,Bulimia,0.04086841562492341
Moldova,2007,Binge eating disorder,0.040349233958154665
Moldova,2008,Anorexia,0.048044258798737395
Moldova,2008,Bulimia,0.04239587506656931
Moldova,2008,Binge eating disorder,0.036492847434693304
Moldova,2009,Anorexia,0.042338765410826075
Moldova,2009,Bulimia,0.04609328089822809
Moldova,2009,Binge eating disorder,0.041163915190945845
Moldova,2010,Anorexia,0.0453327557328916
Moldova,2010,Bulimia,0.04706707774904122
Moldova,2010,Binge eating disorder,0.03883413831806715
Montenegro,2000,Anorexia,0.05691246375956167
Montenegro,2000,Bulimia,0.05877353513691025
Montenegro,2000,Binge eating disorder,0.0466972183035281
Montenegro,2001,Anorexia,0.05530178928781722
Montenegro,2001,Bulimia,0.05534164520067158
Montenegro,2001,Binge eating disorder,0.05261289901151119
Montenegro,2002,Anorexia,0.05971042054904929
Montenegro,2002,Bulimia,0.05800837840375879
Montenegro,2002,Binge eating disorder,0.04648173304719194
Montenegro,2003,Anorexia,0.05983619472274607
Montenegro,2003,Bulimia,0.05824541607556169
Montenegro,2003,Binge eating disorder,0.04812550260169221
Montenegro,2004,Anorexia,0.05779385235360584
Montenegro,2004,Bulimia,0.05879952111324618
Montenegro,2004,Binge eating disorder,0.051720663133147986
Montenegro,2005,Anorexia,0.06089349047979325
Montenegro,2005,Bulimia,0.06016966615085963
Montenegro,2005,Binge eating disorder,0.04910244646934716
Montenegro,2006,Anorexia,0.06388130296834829
Montenegro,2006,Bulimia,0.05856750406607474
Montenegro,2006,Binge eating disorder,0.05023991876557695
Montenegro,2007,Anorexia,0.059638355252660515
Montenegro,2007,Bulimia,0.060475444625621204
Montenegro,2007,Binge eating disorder,0.055590002221718275
Montenegro,2008,Anorexia,0.061042225869580066
Montenegro,2008,Bulimia,0.06288166027406167
